characterName,actorName,episode,season,characterType,firstName
Martin Crane,John Mahoney,4,7,main,Martin
Poppy,Katie Finneran,4,7,other,Poppy
Roz Doyle,Peri Gilpin,4,7,main,Roz
Bulldog Briscoe,Dan Butler,5,7,recurring,Bulldog
Daphne Moon,Jane Leeves,5,7,main,Daphne
Frasier Crane,Kelsey Grammer,5,7,main,Frasier
Niles Crane,David Hyde Pierce,5,7,main,Niles
Martin Crane,John Mahoney,5,7,main,Martin
Roz Doyle,Peri Gilpin,5,7,main,Roz
Steven,Peter Holden,5,7,other,Steven
Ted,Matt Roth,5,7,other,Ted
Daphne Moon,Jane Leeves,6,7,main,Daphne
Frasier Crane,Kelsey Grammer,6,7,main,Frasier
Niles Crane,David Hyde Pierce,6,7,main,Niles
Martin Crane,John Mahoney,6,7,main,Martin
Poppy,Katie Finneran,6,7,other,Poppy
Regan Shaw,Gigi Rice,6,7,other,Regan
Roz Doyle,Peri Gilpin,6,7,main,Roz
Appraiser,Neal Lerner,7,7,other,Appraiser
Daphne Moon,Jane Leeves,7,7,main,Daphne
Frasier Crane,Kelsey Grammer,7,7,main,Frasier
Myshkin,Robertson Dean,7,7,other,Myshkin
Niles Crane,David Hyde Pierce,7,7,main,Niles
Martin Crane,John Mahoney,7,7,main,Martin
Noel Shempsky,Patrick Kerr,7,7,recurring,Noel
Roz Doyle,Peri Gilpin,7,7,main,Roz
Stage Manager,Grace Rowe,7,7,recurring,Stage
Daphne Moon,Jane Leeves,8,7,main,Daphne
Frasier Crane,Kelsey Grammer,8,7,main,Frasier
Mel Karnofsky,Jane Adams,8,7,recurring,Mel
Niles Crane,David Hyde Pierce,8,7,main,Niles
Martin Crane,John Mahoney,8,7,main,Martin
News Anchor,Chariesse LaVelle,8,7,other,News
Nurse,Mary Jo Smith,8,7,recurring,Nurse
Orderly,Lauren Cohn,8,7,other,Orderly
Phil,Rob Leo Roy,8,7,other,Phil
Records Clerk,John Farley,8,7,other,Records
Roz Doyle,Peri Gilpin,8,7,main,Roz
Woman In Cafe,Susan Merson,8,7,other,Woman
Daphne Moon,Jane Leeves,9,7,main,Daphne
Frasier Crane,Kelsey Grammer,9,7,main,Frasier
Lilith Sternin,Bebe Neuwirth,9,7,recurring,Lilith
Niles Crane,David Hyde Pierce,9,7,main,Niles
Frederick Crane,Trevor Einhorn,9,7,recurring,Frederick
Martin Crane,John Mahoney,9,7,main,Martin
Roz Doyle,Peri Gilpin,9,7,main,Roz
Connie,Lisa Robinson,10,7,other,Connie
Daphne Moon,Jane Leeves,10,7,main,Daphne
Frasier Crane,Kelsey Grammer,10,7,main,Frasier
Niles Crane,David Hyde Pierce,10,7,main,Niles
Martin Crane,John Mahoney,10,7,main,Martin
Roz Doyle,Peri Gilpin,10,7,main,Roz
Daphne Moon,Jane Leeves,11,7,main,Daphne
Donny,Saul Rubinek,11,7,other,Donny
Frasier Crane,Kelsey Grammer,11,7,main,Frasier
Niles Crane,David Hyde Pierce,11,7,main,Niles
Gil,Edward Hibbert,11,7,other,Gil
Kenny,Tom McGowan,11,7,other,Kenny
Martin Crane,John Mahoney,11,7,main,Martin
Mel,Jane Adams,11,7,other,Mel
Roz Doyle,Peri Gilpin,11,7,main,Roz
Betty,Rebecca Schull,12,7,other,Betty
Clifford,Anthony Zerbe,12,7,other,Clifford
Cop,Kevin Brief,12,7,other,Cop
Daphne Moon,Jane Leeves,12,7,main,Daphne
Frasier Crane,Kelsey Grammer,12,7,main,Frasier
Niles Crane,David Hyde Pierce,12,7,main,Niles
Farmer,Wayne Grace,12,7,other,Farmer
Martin Crane,John Mahoney,12,7,main,Martin
Roz Doyle,Peri Gilpin,12,7,main,Roz
Daphne Moon,Jane Leeves,13,7,main,Daphne
Frasier Crane,Kelsey Grammer,13,7,main,Frasier
Niles Crane,David Hyde Pierce,13,7,main,Niles
mmer,Tom Brooks,13,7,other,mmer
Gil Chesterton,Edward Hibbert,13,7,recurring,Gil
Kenny Daly,Tom McGowan,13,7,recurring,Kenny
Leon,David Richard Thompson,13,7,other,Leon
Martin Crane,John Mahoney,13,7,main,Martin
Roz Doyle,Peri Gilpin,13,7,main,Roz
Singer,Tom Beyer,13,7,other,Singer
Tiffany,Christine Kludjian,13,7,other,Tiffany
Daphne Moon,Jane Leeves,14,7,main,Daphne
Frasier Crane,Kelsey Grammer,14,7,main,Frasier
Niles Crane,David Hyde Pierce,14,7,main,Niles
Lorna Lynley,Jean Smart,14,7,other,Lorna
Martin Crane,John Mahoney,14,7,main,Martin
Neighbor,Selma Stern,14,7,other,Neighbor
Roz Doyle,Peri Gilpin,14,7,main,Roz
Daphne Moon,Jane Leeves,15,7,main,Daphne
Frasier Crane,Kelsey Grammer,15,7,main,Frasier
Niles Crane,David Hyde Pierce,15,7,main,Niles
Edward,Brian Bedford,15,7,other,Edward
Emily,Marg Helgenberger,15,7,other,Emily
Helen,Mary Louise Wilson,15,7,other,Helen
Martin Crane,John Mahoney,15,7,main,Martin
Roz Doyle,Peri Gilpin,15,7,main,Roz
Chuck,Scott Lowell,16,7,other,Chuck
Daphne Moon,Jane Leeves,16,7,main,Daphne
Frasier Crane,Kelsey Grammer,16,7,main,Frasier
Mary,Kim Coles,16,7,other,Mary
Niles Crane,David Hyde Pierce,16,7,main,Niles
Gabe,Isaac Mizrahi,16,7,other,Gabe
Kenny Daly,Tom McGowan,16,7,recurring,Kenny
Louise,Carla Renata,16,7,other,Louise
Maria,Gloria Estefan,16,7,other,Maria
Martin Crane,John Mahoney,16,7,main,Martin
Roz Doyle,Peri Gilpin,16,7,main,Roz
Waitress,Amy Landers,16,7,recurring,Waitress
Corkmaster,Anthony Heald,17,7,other,Corkmaster
Daphne Moon,Jane Leeves,17,7,main,Daphne
Frasier Crane,Kelsey Grammer,17,7,main,Frasier
Mel Karnofsky,Jane Adams,17,7,recurring,Mel
Niles Crane,David Hyde Pierce,17,7,main,Niles
Martin Crane,John Mahoney,17,7,main,Martin
Mrs. Wojadubakowski,Anita Gillette,17,7,other,Mrs.
Roz Doyle,Peri Gilpin,17,7,main,Roz
Virgil Hefflewhite,Richard Stretchberry,17,7,other,Virgil
Daphne Moon,Jane Leeves,18,7,main,Daphne
Donny Douglas,Saul Rubinek,18,7,recurring,Donny
Frasier Crane,Kelsey Grammer,18,7,main,Frasier
Niles Crane,David Hyde Pierce,18,7,main,Niles
Kenny Daly,Tom McGowan,18,7,recurring,Kenny
Martin Crane,John Mahoney,18,7,main,Martin
Roz Doyle,Peri Gilpin,18,7,main,Roz
Waiter,Tom Gottlieb,18,7,recurring,Waiter
Bebe Glazer,Harriet Sansom Harris,19,7,recurring,Bebe
Bethany,Karen Hensel,19,7,other,Bethany
Daphne Moon,Jane Leeves,19,7,main,Daphne
Frasier Crane,Kelsey Grammer,19,7,main,Frasier
Niles Crane,David Hyde Pierce,19,7,main,Niles
Martin Crane,John Mahoney,19,7,main,Martin
Matt,Carlos Jacott,19,7,other,Matt
Roz Doyle,Peri Gilpin,19,7,main,Roz
Stage Manager,Ilo Orleans,19,7,recurring,Stage
Daphne Moon,Jane Leeves,20,7,main,Daphne
Dinah aka Officer Nasty,Rachel York,20,7,other,Dinah
Donny Douglas,Saul Rubinek,20,7,recurring,Donny
Doorman,Gregory North,20,7,other,Doorman
Frasier Crane,Kelsey Grammer,20,7,main,Frasier
Mel Karnofsky,Jane Adams,20,7,recurring,Mel
Niles Crane,David Hyde Pierce,20,7,main,Niles
Martin Crane,John Mahoney,20,7,main,Martin
Regan Shaw,Gigi Rice,20,7,other,Regan
Roz Doyle,Peri Gilpin,20,7,main,Roz
Daphne Moon,Jane Leeves,21,7,main,Daphne
Frasier Crane,Kelsey Grammer,21,7,main,Frasier
Niles Crane,David Hyde Pierce,21,7,main,Niles
Girl in Line,Nastassja Schmiedt,21,7,other,Girl
Girl with wing,Skye McCole Bartusiak,21,7,other,Girl
Kenny Daly,Tom McGowan,21,7,recurring,Kenny
Maitre'd,Gene Lythgow,21,7,other,Maitre'd
Mama,Lilyan Chauvin,21,7,other,Mama
Martin Crane,John Mahoney,21,7,main,Martin
Roz Doyle,Peri Gilpin,21,7,main,Roz
Stefano,Robert Loggia,21,7,other,Stefano
Daphne Moon,Jane Leeves,22,7,main,Daphne
Donny Douglas,Saul Rubinek,22,7,recurring,Donny
Frasier Crane,Kelsey Grammer,22,7,main,Frasier
McCaskill,S. Epatha Merkerson,22,7,other,McCaskill
Mel Karnofsky,Jane Adams,22,7,recurring,Mel
Niles Crane,David Hyde Pierce,22,7,main,Niles
Holly,Kelly Miracco,22,7,other,Holly
Judd,Jonathan Bruce,22,7,other,Judd
Martin Crane,John Mahoney,22,7,main,Martin
"Mr. Douglas, Donny's Dad",John David Conti,22,7,other,Mr.
"Mrs. Douglas, Donny's Mom",Barbara Sharma,22,7,other,Mrs.
Neighbor,Janice Kent,22,7,other,Neighbor
Paris,Dendrie Taylor,22,7,other,Paris
Roz Doyle,Peri Gilpin,22,7,main,Roz
Simon Moon,Anthony LaPaglia,22,7,recurring,Simon
Bartender,Rob Klingman,23,7,recurring,Bartender
Daphne Moon,Jane Leeves,23,7,main,Daphne
Donny Douglas,Saul Rubinek,23,7,recurring,Donny
Frasier Crane,Kelsey Grammer,23,7,main,Frasier
Mel Karnofsky,Jane Adams,23,7,recurring,Mel
Niles Crane,David Hyde Pierce,23,7,main,Niles
Gertrude Moon,Millicent Martin,23,7,recurring,Gertrude
Martin Crane,John Mahoney,23,7,main,Martin
Miss Carney,Teri Ralston,23,7,other,Miss
Mrs. Richman,Brooks Almy,23,7,recurring,Mrs.
Nigel Moon,Cameron Dye,23,7,other,Nigel
Roz Doyle,Peri Gilpin,23,7,main,Roz
Simon Moon,Anthony LaPaglia,23,7,recurring,Simon
Tim Walsh,Thomas Byrd,23,7,other,Tim
Waiter,Anthony Montgomery,23,7,other,Waiter
Bartender,Rob Klingman,24,7,recurring,Bartender
Daphne Moon,Jane Leeves,24,7,main,Daphne
Donny Douglas,Saul Rubinek,24,7,recurring,Donny
Frasier Crane,Kelsey Grammer,24,7,main,Frasier
Mel Karnofsky,Jane Adams,24,7,recurring,Mel
Niles Crane,David Hyde Pierce,24,7,main,Niles
Gertrude Moon,Millicent Martin,24,7,recurring,Gertrude
Martin Crane,John Mahoney,24,7,main,Martin
Miss Carney,Teri Ralston,24,7,other,Miss
Mrs. Richman,Brooks Almy,24,7,recurring,Mrs.
Nigel Moon,Cameron Dye,24,7,other,Nigel
Roz Doyle,Peri Gilpin,24,7,main,Roz
Simon Moon,Anthony LaPaglia,24,7,recurring,Simon
Tim Walsh,Thomas Byrd,24,7,other,Tim
Waiter,Anthony Montgomery,24,7,other,Waiter
Daphne Moon,Jane Leeves,1,8,main,Daphne
Delivery Man,Tim Rhoze,1,8,other,Delivery
Donny Douglas,Saul Rubinek,1,8,recurring,Donny
Frasier Crane,Kelsey Grammer,1,8,main,Frasier
Mel Karnofsky,Jane Adams,1,8,recurring,Mel
Niles Crane,David Hyde Pierce,1,8,main,Niles
Martin Crane,John Mahoney,1,8,main,Martin
Roz Doyle,Peri Gilpin,1,8,main,Roz
Simon Moon,Anthony LaPaglia,1,8,recurring,Simon
Adrianna Pettibone,Karen Kondazian,2,8,other,Adrianna
Daphne Moon,Jane Leeves,2,8,main,Daphne
Frasier Crane,Kelsey Grammer,2,8,main,Frasier
Mel Karnofsky,Jane Adams,2,8,recurring,Mel
Niles Crane,David Hyde Pierce,2,8,main,Niles
Martin Crane,John Mahoney,2,8,main,Martin
Party Guest,Stephanie Nash,2,8,recurring,Party
Photographer,Jeremiah Morris,2,8,other,Photographer
Roz Doyle,Peri Gilpin,2,8,main,Roz
Simon Moon,Anthony LaPaglia,2,8,recurring,Simon
Bus ver,Kevin Dean Williams,3,8,other,Bus
Daphne Moon,Jane Leeves,3,8,main,Daphne
Frasier Crane,Kelsey Grammer,3,8,main,Frasier
Niles Crane,David Hyde Pierce,3,8,main,Niles
Francine,Mary Ostrow,3,8,other,Francine
Lee Zeplowitz,Eddie Carroll,3,8,other,Lee
Martin Crane,John Mahoney,3,8,main,Martin
Miranda Rogers,Tushka Bergen,3,8,other,Miranda
Roz Doyle,Peri Gilpin,3,8,main,Roz
Andrew,James Whitson,4,8,other,Andrew
Chip,Sean Smith,4,8,other,Chip
Daphne Moon,Jane Leeves,4,8,main,Daphne
Frasier Crane,Kelsey Grammer,4,8,main,Frasier
Mel Karnofsky,Jane Adams,4,8,recurring,Mel
Niles Crane,David Hyde Pierce,4,8,main,Niles
Kenny Daly,Tom McGowan,4,8,recurring,Kenny
Lucy,Kyme,4,8,other,Lucy
Margaret,Elizabeth Alley,4,8,other,Margaret
Martin Crane,John Mahoney,4,8,main,Martin
Roz Doyle,Peri Gilpin,4,8,main,Roz
Todd Peterson,Alan Tudyk,4,8,other,Todd
Alan Murchie,Nicholas Hormann,5,8,other,Alan
Daphne Moon,Jane Leeves,5,8,main,Daphne
Diane Murchie,B.J. Ward,5,8,other,Diane
Frasier Crane,Kelsey Grammer,5,8,main,Frasier
Mel Karnofsky,Jane Adams,5,8,recurring,Mel
Niles Crane,David Hyde Pierce,5,8,main,Niles
Ferguson,Victor Garber,5,8,other,Ferguson
Henry Worth,Noel Conlon,5,8,other,Henry
Lois Fisher,Heather Ehlers,5,8,other,Lois
Martin Crane,John Mahoney,5,8,main,Martin
Roz Doyle,Peri Gilpin,5,8,main,Roz
Ted Fisher,Francis Guinan,5,8,other,Ted
Abby Michaels,Teri Polo,6,8,other,Abby
Best Man,Kevin Loomis,6,8,other,Best
Computer Guy,Anthony Holiday,6,8,other,Computer
Daphne Moon,Jane Leeves,6,8,main,Daphne
Donny Douglas,Saul Rubinek,6,8,recurring,Donny
Frasier Crane,Kelsey Grammer,6,8,main,Frasier
Niles Crane,David Hyde Pierce,6,8,main,Niles
Martin Crane,John Mahoney,6,8,main,Martin
"Mrs. Douglas, Donny's Mom",Barbara Sharma,6,8,other,Mrs.
Roz Doyle,Peri Gilpin,6,8,main,Roz
Daphne Moon,Jane Leeves,7,8,main,Daphne
Frasier Crane,Kelsey Grammer,7,8,main,Frasier
Niles Crane,David Hyde Pierce,7,8,main,Niles
Luke Parker,Gary Cole,7,8,other,Luke
Luke's Date,Magdalena Holland,7,8,other,Luke's
Martin Crane,John Mahoney,7,8,main,Martin
Roz Doyle,Peri Gilpin,7,8,main,Roz
Bob Vernon,Peter Haskell,8,8,other,Bob
Brian,Stephen King,8,8,other,Brian
Daphne Moon,Jane Leeves,8,8,main,Daphne
Frasier Crane,Kelsey Grammer,8,8,main,Frasier
Mary,Kim Coles,8,8,other,Mary
Niles Crane,David Hyde Pierce,8,8,main,Niles
Kelly Kirkland,Bess Armstrong,8,8,other,Kelly
Kenny Daly,Tom McGowan,8,8,recurring,Kenny
Martin Crane,John Mahoney,8,8,main,Martin
Producer,Karl T. Wright,8,8,other,Producer
Roz Doyle,Peri Gilpin,8,8,main,Roz
Santa,Donovan Scott,8,8,other,Santa
Tom,Wolfgang Puck,8,8,recurring,Tom
Woman at Parade,Pam Levin,8,8,other,Woman
Andy,Neil Simon,9,8,other,Andy
Daphne Moon,Jane Leeves,9,8,main,Daphne
Frasier Crane,Kelsey Grammer,9,8,main,Frasier
Niles Crane,David Hyde Pierce,9,8,main,Niles
Emcee,Devika Parikh,9,8,other,Emcee
Gil Chesterton,Edward Hibbert,9,8,recurring,Gil
Kenny Daly,Tom McGowan,9,8,recurring,Kenny
Martin Crane,John Mahoney,9,8,main,Martin
Merrill George,Michael Shepperd,9,8,other,Merrill
Professor William Tewksbury,Rene Auberjonois,9,8,other,Professor
Roz Doyle,Peri Gilpin,9,8,main,Roz
Sheldon Hastings,Randall Rapstine,9,8,other,Sheldon
Waiter,Owen Duffy,9,8,recurring,Waiter
Cleo,Melissa Etheridge,10,8,other,Cleo
Daphne Moon,Jane Leeves,10,8,main,Daphne
Frasier Crane,Kelsey Grammer,10,8,main,Frasier
Jack Betcher,Michael Philip,10,8,other,Jack
Niles Crane,David Hyde Pierce,10,8,main,Niles
Frederick Crane,Trevor Einhorn,10,8,recurring,Frederick
Martin Crane,John Mahoney,10,8,main,Martin
Melody,Caitlin Barrett,10,8,other,Melody
Roz Doyle,Peri Gilpin,10,8,main,Roz
Ted alias Hans,Richard Gleason,10,8,other,Ted
Chelsea,Katherine Disque,11,8,other,Chelsea
Copy Guy,Kelvin Yu,11,8,other,Copy
Daphne Moon,Jane Leeves,11,8,main,Daphne
Frasier Crane,Kelsey Grammer,11,8,main,Frasier
Niles Crane,David Hyde Pierce,11,8,main,Niles
Martin Crane,John Mahoney,11,8,main,Martin
Randy,Dave Allen,11,8,other,Randy
Roz Doyle,Peri Gilpin,11,8,main,Roz
Shirley,Pamela Dunlap,11,8,other,Shirley
Cecil Hedley,Patrick Macnee,12,8,other,Cecil
Daphne Moon,Jane Leeves,12,8,recurring,Daphne
Frasier Crane,Kelsey Grammer,12,8,main,Frasier
Niles Crane,David Hyde Pierce,12,8,main,Niles
Dwayne,Ray Porter,12,8,other,Dwayne
Fire Marshall,Jonathan Adams,12,8,other,Fire
Guy Fan,Alan Heitz,12,8,other,Guy
Jackson Hedley,Derek Jacobi,12,8,other,Jackson
Klingon,Milan Dragicevic,12,8,other,Klingon
Martin Crane,John Mahoney,12,8,main,Martin
Noel Shempsky,Patrick Kerr,12,8,recurring,Noel
Roz Doyle,Peri Gilpin,12,8,main,Roz
Stage Manager,Ben Livingston,12,8,recurring,Stage
Daphne Moon,Jane Leeves,13,8,main,Daphne
Frasier Crane,Kelsey Grammer,13,8,main,Frasier
Niles Crane,David Hyde Pierce,13,8,main,Niles
Emcee,Michael G. Hawkins,13,8,other,Emcee
Judy,Heather McDonald,13,8,other,Judy
Kenny Daly,Tom McGowan,13,8,recurring,Kenny
Martin Crane,John Mahoney,13,8,main,Martin
Mike,Jon Curry,13,8,other,Mike
Monica,Charlotte Ross,13,8,other,Monica
Rachel,Bernadette Peters,13,8,other,Rachel
Robert,JD Roberto,13,8,other,Robert
Roz Doyle,Peri Gilpin,13,8,main,Roz
Daphne Moon,Jane Leeves,14,8,main,Daphne
Frasier Crane,Kelsey Grammer,14,8,main,Frasier
Niles Crane,David Hyde Pierce,14,8,main,Niles
Janis,Julie Dretzin,14,8,other,Janis
Kenny Daly,Tom McGowan,14,8,recurring,Kenny
Kenny's Wife,Illeana Douglas,14,8,other,Kenny's
Martin Crane,John Mahoney,14,8,main,Martin
Roz Doyle,Peri Gilpin,14,8,main,Roz
Waiter,Mario Soto,14,8,recurring,Waiter
Bartender,Edward James Gage,15,8,recurring,Bartender
Daphne Moon,Jane Leeves,15,8,recurring,Daphne
Frasier Crane,Kelsey Grammer,15,8,main,Frasier
Niles Crane,David Hyde Pierce,15,8,main,Niles
Jean-Pierre,Philipp Lawrence Durand,15,8,other,Jean-Pierre
Martin Crane,John Mahoney,15,8,main,Martin
P.R. Woman,Valarie Pettiford,15,8,other,P.R.
Roz Doyle,Peri Gilpin,15,8,main,Roz
Sonics Fan - Francine,Lisa K. Wyatt,15,8,other,Sonics
April,Kate Luhr,16,8,other,April
B.K.,Rob Moore,16,8,other,B.K.
Daphne Moon,Jane Leeves,16,8,recurring,Daphne
Frasier Crane,Kelsey Grammer,16,8,main,Frasier
Niles Crane,David Hyde Pierce,16,8,main,Niles
Ed,Tom Slovick,16,8,other,Ed
Fred,Harold Prince,16,8,other,Fred
John Glenn,John Glenn,16,8,other,John
Kenny Daly,Tom McGowan,16,8,recurring,Kenny
Martin Crane,John Mahoney,16,8,main,Martin
Roz Doyle,Peri Gilpin,16,8,main,Roz
Daphne Moon,Jane Leeves,17,8,recurring,Daphne
Frasier Crane,Kelsey Grammer,17,8,main,Frasier
Niles Crane,David Hyde Pierce,17,8,main,Niles
Estelle,Damara Reilly,17,8,other,Estelle
James the Waiter,James Aaron Oliver,17,8,recurring,James
Martin Crane,John Mahoney,17,8,main,Martin
Monique,Candace Edwards,17,8,other,Monique
Penelope Janvier,Barbara Babcock,17,8,other,Penelope
Reggie,Michael Canavan,17,8,other,Reggie
Roz Doyle,Peri Gilpin,17,8,main,Roz
Spencer,Charles Janasz,17,8,other,Spencer
William,John Michael Higgins,17,8,other,William
Daphne Moon,Jane Leeves,18,8,recurring,Daphne
Frasier Crane,Kelsey Grammer,18,8,main,Frasier
Niles Crane,David Hyde Pierce,18,8,main,Niles
Endicott,Charles Cioffi,18,8,other,Endicott
Frederica,Jennifer Coolidge,18,8,other,Frederica
Gil Chesterton,Edward Hibbert,18,8,recurring,Gil
Kenny Daly,Tom McGowan,18,8,recurring,Kenny
Lance,David Norona,18,8,other,Lance
Martin Crane,John Mahoney,18,8,main,Martin
Reynolds,Jonathan McMurtry,18,8,other,Reynolds
Roz Doyle,Peri Gilpin,18,8,main,Roz
Virgil Hefflewhite,Richard Stretchberry,18,8,other,Virgil
Daphne Moon,Jane Leeves,19,8,main,Daphne
Frasier Crane,Kelsey Grammer,19,8,main,Frasier
Niles Crane,David Hyde Pierce,19,8,main,Niles
Martin Crane,John Mahoney,19,8,main,Martin
Patient,Bryan McMillen,19,8,other,Patient
Roz Doyle,Peri Gilpin,19,8,main,Roz
Daphne Moon,Jane Leeves,20,8,main,Daphne
Frasier Crane,Kelsey Grammer,20,8,main,Frasier
Niles Crane,David Hyde Pierce,20,8,main,Niles
Sheldon Morey,Fisher Stevens,20,8,other,Sheldon
