characterName,actorName,season,episode,characterType,firstName
Jerome Belasco,Harris Yulin,15,3,other,Jerome
Brandy,Faith Prince,15,3,other,Brandy
Steve,Randy Travis,15,3,other,Steve
Episode complete credited cast:,Episode complete credited cast:,15,4,NA,Episode
Frasier Crane,Kelsey Grammer,15,4,main,Frasier
Daphne Moon,Jane Leeves,15,4,main,Daphne
Niles Crane,David Hyde Pierce,15,4,main,Niles
Roz Doyle,Peri Gilpin,15,4,main,Roz
Bulldog Briscoe,Dan Butler,15,4,recurring,Bulldog
Martin Crane,John Mahoney,15,4,main,Martin
Norman Royster,James Earl Jones,15,4,other,Norman
Moira,Lois Smith,15,4,other,Moira
Chet,Eric Roberts,15,4,other,Chet
Episode complete credited cast:,Episode complete credited cast:,15,5,NA,Episode
Frasier Crane,Kelsey Grammer,15,5,main,Frasier
Daphne Moon,Jane Leeves,15,5,main,Daphne
Niles Crane,David Hyde Pierce,15,5,main,Niles
Roz Doyle,Peri Gilpin,15,5,main,Roz
Martin Crane,John Mahoney,15,5,main,Martin
Lilith Sternin,Bebe Neuwirth,15,5,recurring,Lilith
Waiter,John Ducey,15,5,recurring,Waiter
Betsy,Halle Berry,15,5,other,Betsy
Episode complete credited cast:,Episode complete credited cast:,15,6,NA,Episode
Frasier Crane,Kelsey Grammer,15,6,main,Frasier
Daphne Moon,Jane Leeves,15,6,main,Daphne
Niles Crane,David Hyde Pierce,15,6,main,Niles
Roz Doyle,Peri Gilpin,15,6,main,Roz
Martin Crane,John Mahoney,15,6,main,Martin
Donny Douglas,Saul Rubinek,15,6,recurring,Donny
Maria,Aloma Wright,15,6,other,Maria
Waiter,Paul Cosimano,15,6,recurring,Waiter
Episode complete credited cast:,Episode complete credited cast:,15,7,NA,Episode
Frasier Crane,Kelsey Grammer,15,7,main,Frasier
Daphne Moon,Jane Leeves,15,7,main,Daphne
Niles Crane,David Hyde Pierce,15,7,main,Niles
Roz Doyle,Peri Gilpin,15,7,main,Roz
Martin Crane,John Mahoney,15,7,main,Martin
Emily,Marg Helgenberger,15,7,other,Emily
Edward,Brian Bedford,15,7,other,Edward
Helen,Mary Louise Wilson,15,7,other,Helen
Episode complete credited cast:,Episode complete credited cast:,15,8,NA,Episode
Frasier Crane,Kelsey Grammer,15,8,main,Frasier
Daphne Moon,Jane Leeves,15,8,recurring,Daphne
Niles Crane,David Hyde Pierce,15,8,main,Niles
Roz Doyle,Peri Gilpin,15,8,main,Roz
Martin Crane,John Mahoney,15,8,main,Martin
Jean-Pierre,Philipp Lawrence Durand,15,8,other,Jean-Pierre
P.R. Woman,Valarie Pettiford,15,8,other,P.R.
Sonics Fan - Francine,Lisa K. Wyatt,15,8,other,Sonics
Bartender,Edward James Gage,15,8,recurring,Bartender
Episode complete credited cast:,Episode complete credited cast:,15,9,NA,Episode
Frasier Crane,Kelsey Grammer,15,9,main,Frasier
Daphne Moon,Jane Leeves,15,9,main,Daphne
Niles Crane,David Hyde Pierce,15,9,main,Niles
Roz Doyle,Peri Gilpin,15,9,main,Roz
Martin Crane,John Mahoney,15,9,main,Martin
Gertrude Moon,Millicent Martin,15,9,recurring,Gertrude
Peg,Lindsay Crouse,15,9,other,Peg
Jewelry Clerk,Dan Bucatinsky,15,9,other,Jewelry
Suzy,Juanita Jennings,15,9,other,Suzy
Angel,Tony Cox,15,9,other,Angel
Angel,Mark Povinelli,15,9,other,Angel
Wolfgang Puck,Wolfgang Puck,15,9,other,Wolfgang
Episode cast overview:,Episode cast overview:,15,10,NA,Episode
Frasier Crane,Kelsey Grammer,15,10,main,Frasier
Daphne Moon,Jane Leeves,15,10,main,Daphne
Niles Crane,David Hyde Pierce,15,10,main,Niles
Roz Doyle,Peri Gilpin,15,10,main,Roz
Martin Crane,John Mahoney,15,10,main,Martin
Coach Fuller,Bob Hoskins,15,10,other,Coach
Julia Wilcox,Felicity Huffman,15,10,recurring,Julia
Chelsea,Jeanne Tripplehorn,15,10,other,Chelsea
Jim,Jack Brewer,15,10,other,Jim
Campbell,Amanda Corday,15,10,other,Campbell
Waitress,Nadine Donahue,15,10,recurring,Waitress
Kenny Daly,Tom McGowan,15,10,recurring,Kenny
Episode cast overview:,Episode cast overview:,15,11,NA,Episode
Frasier Crane,Kelsey Grammer,15,11,main,Frasier
Daphne Moon,Jane Leeves,15,11,main,Daphne
Niles Crane,David Hyde Pierce,15,11,main,Niles
Roz Doyle,Peri Gilpin,15,11,main,Roz
Martin Crane,John Mahoney,15,11,main,Martin
Nanny G,Laurie Metcalf,15,11,other,Nanny
Donald,Don McManus,15,11,other,Donald
Alice May Doyle,Ashley Thomas,15,11,recurring,Alice
Kangaroo,Robert Towers,15,11,other,Kangaroo
Panda,Jody Ashworth,15,11,other,Panda
Bunny,Larry Cedar,15,11,other,Bunny
Bunny,John Lathan,15,11,other,Bunny
Episode complete credited cast:,Episode complete credited cast:,16,1,NA,Episode
Frasier Crane,Kelsey Grammer,16,1,main,Frasier
Daphne Moon,Jane Leeves,16,1,main,Daphne
Niles Crane,David Hyde Pierce,16,1,main,Niles
Roz Doyle,Peri Gilpin,16,1,main,Roz
Martin Crane,John Mahoney,16,1,main,Martin
Lilith Sternin,Bebe Neuwirth,16,1,recurring,Lilith
Hank,Timothy Leary,16,1,other,Hank
Waiter,Roger Keller,16,1,recurring,Waiter
Eddie,Moose,16,1,recurring,Eddie
Episode complete credited cast:,Episode complete credited cast:,16,2,NA,Episode
Frasier Crane,Kelsey Grammer,16,2,main,Frasier
Daphne Moon,Jane Leeves,16,2,main,Daphne
Niles Crane,David Hyde Pierce,16,2,main,Niles
Roz Doyle,Peri Gilpin,16,2,main,Roz
Martin Crane,John Mahoney,16,2,main,Martin
Sam Malone,Ted Danson,16,2,other,Sam
Sheila,Téa Leoni,16,2,other,Sheila
Episode complete credited cast:,Episode complete credited cast:,16,3,NA,Episode
Frasier Crane,Kelsey Grammer,16,3,main,Frasier
Daphne Moon,Jane Leeves,16,3,main,Daphne
Niles Crane,David Hyde Pierce,16,3,main,Niles
Roz Doyle,Peri Gilpin,16,3,main,Roz
Martin Crane,John Mahoney,16,3,main,Martin
Pete,Murphy Dunne,16,3,other,Pete
Gary,Justin Gorence,16,3,other,Gary
Stage Manager,Benjamin Brown,16,3,recurring,Stage
Episode complete credited cast:,Episode complete credited cast:,16,4,NA,Episode
Frasier Crane,Kelsey Grammer,16,4,main,Frasier
Daphne Moon,Jane Leeves,16,4,main,Daphne
Niles Crane,David Hyde Pierce,16,4,main,Niles
Roz Doyle,Peri Gilpin,16,4,main,Roz
Bulldog Briscoe,Dan Butler,16,4,recurring,Bulldog
Martin Crane,John Mahoney,16,4,main,Martin
Frederick Crane,Trevor Einhorn,16,4,recurring,Frederick
Bobby Sherman,Bobby Sherman,16,4,other,Bobby
Episode complete credited cast:,Episode complete credited cast:,16,5,NA,Episode
Frasier Crane,Kelsey Grammer,16,5,main,Frasier
Daphne Moon,Jane Leeves,16,5,main,Daphne
Niles Crane,David Hyde Pierce,16,5,main,Niles
Roz Doyle,Peri Gilpin,16,5,main,Roz
Martin Crane,John Mahoney,16,5,main,Martin
Aunt Zora Crane,Patti LuPone,16,5,other,Aunt
Nikos Crane,Joseph Will,16,5,other,Nikos
Uncle Walt Crane,John Mahon,16,5,other,Uncle
Mary Ann,Valerie Dillman,16,5,other,Mary
Ed,James Gleason,16,5,other,Ed
Cousin Yvonne,Lori Harmon,16,5,other,Cousin
Crystal the Juggler,Heide Karp,16,5,other,Crystal
Episode complete credited cast:,Episode complete credited cast:,16,6,NA,Episode
Frasier Crane,Kelsey Grammer,16,6,main,Frasier
Daphne Moon,Jane Leeves,16,6,main,Daphne
Niles Crane,David Hyde Pierce,16,6,main,Niles
Roz Doyle,Peri Gilpin,16,6,main,Roz
Martin Crane,John Mahoney,16,6,main,Martin
Donny Douglas,Saul Rubinek,16,6,recurring,Donny
Episode complete credited cast:,Episode complete credited cast:,16,7,NA,Episode
Frasier Crane,Kelsey Grammer,16,7,main,Frasier
Daphne Moon,Jane Leeves,16,7,main,Daphne
Niles Crane,David Hyde Pierce,16,7,main,Niles
Roz Doyle,Peri Gilpin,16,7,main,Roz
Martin Crane,John Mahoney,16,7,main,Martin
Mary,Kim Coles,16,7,other,Mary
Kenny Daly,Tom McGowan,16,7,recurring,Kenny
Chuck,Scott Lowell,16,7,other,Chuck
Louise,Carla Renata,16,7,other,Louise
Waitress,Amy Landers,16,7,recurring,Waitress
Maria,Gloria Estefan,16,7,other,Maria
Gabe,Isaac Mizrahi,16,7,other,Gabe
Episode complete credited cast:,Episode complete credited cast:,16,8,NA,Episode
Frasier Crane,Kelsey Grammer,16,8,main,Frasier
Daphne Moon,Jane Leeves,16,8,recurring,Daphne
Niles Crane,David Hyde Pierce,16,8,main,Niles
Roz Doyle,Peri Gilpin,16,8,main,Roz
Martin Crane,John Mahoney,16,8,main,Martin
John Glenn,John Glenn,16,8,other,John
Kenny Daly,Tom McGowan,16,8,recurring,Kenny
B.K.,Rob Moore,16,8,other,B.K.
Ed,Tom Slovick,16,8,other,Ed
April,Kate Luhr,16,8,other,April
Fred,Harold Prince,16,8,other,Fred
Episode complete credited cast:,Episode complete credited cast:,16,9,NA,Episode
Frasier Crane,Kelsey Grammer,16,9,main,Frasier
Daphne Moon,Jane Leeves,16,9,main,Daphne
Niles Crane,David Hyde Pierce,16,9,main,Niles
Roz Doyle,Peri Gilpin,16,9,main,Roz
Martin Crane,John Mahoney,16,9,main,Martin
Blaine Sternin,Michael Keaton,16,9,other,Blaine
Audience Member,Kari McGee,16,9,other,Audience
Audience Member,Richard Redlin,16,9,other,Audience
Audience Member,Janet Song,16,9,other,Audience
Episode cast overview:,Episode cast overview:,16,10,NA,Episode
Frasier Crane,Kelsey Grammer,16,10,main,Frasier
Daphne Moon,Jane Leeves,16,10,main,Daphne
Niles Crane,David Hyde Pierce,16,10,main,Niles
Roz Doyle,Peri Gilpin,16,10,main,Roz
Martin Crane,John Mahoney,16,10,main,Martin
Julia Wilcox,Felicity Huffman,16,10,recurring,Julia
Gertrude Moon,Millicent Martin,16,10,recurring,Gertrude
Cora Winston,Emily Yancy,16,10,other,Cora
Alice May Doyle,Ashley Thomas,16,10,recurring,Alice
Bike Clerk,Mario Prado Jr.,16,10,other,Bike
Kenny Daly,Tom McGowan,16,10,recurring,Kenny
Episode cast overview:,Episode cast overview:,16,11,NA,Episode
Frasier Crane,Kelsey Grammer,16,11,main,Frasier
Daphne Moon,Jane Leeves,16,11,recurring,Daphne
Niles Crane,David Hyde Pierce,16,11,main,Niles
Roz Doyle,Peri Gilpin,16,11,main,Roz
Martin Crane,John Mahoney,16,11,main,Martin
Ronee Lawrence,Wendie Malick,16,11,recurring,Ronee
Mimi,Stephanie Faracy,16,11,other,Mimi
Nurse,Lorraine Toussaint,16,11,recurring,Nurse
Doctor,Gerald Downey,16,11,recurring,Doctor
Man in Hospital,Gregory Wagrowski,16,11,other,Man
Episode complete credited cast:,Episode complete credited cast:,17,1,NA,Episode
Frasier Crane,Kelsey Grammer,17,1,main,Frasier
Daphne Moon,Jane Leeves,17,1,main,Daphne
Niles Crane,David Hyde Pierce,17,1,main,Niles
Roz Doyle,Peri Gilpin,17,1,main,Roz
Martin Crane,John Mahoney,17,1,main,Martin
Eric,Dean Erickson,17,1,other,Eric
Episode complete credited cast:,Episode complete credited cast:,17,2,NA,Episode
Frasier Crane,Kelsey Grammer,17,2,main,Frasier
Daphne Moon,Jane Leeves,17,2,main,Daphne
Niles Crane,David Hyde Pierce,17,2,main,Niles
Roz Doyle,Peri Gilpin,17,2,main,Roz
Martin Crane,John Mahoney,17,2,main,Martin
"Episode cast overview, first billed only:","Episode cast overview, first billed only:",17,3,NA,Episode
Frasier Crane,Kelsey Grammer,17,3,main,Frasier
Daphne Moon,Jane Leeves,17,3,main,Daphne
Niles Crane,David Hyde Pierce,17,3,main,Niles
Roz Doyle,Peri Gilpin,17,3,main,Roz
Martin Crane,John Mahoney,17,3,main,Martin
Doug Harvey,John Cygan,17,3,other,Doug
Video Clerk,Mark Benninghoffen,17,3,other,Video
Curtis,Troy Blendell,17,3,other,Curtis
Woman,Naomi,17,3,other,Woman
Waiter,Paul Cosimano,17,3,recurring,Waiter
Lydia,Joan Allen,17,3,other,Lydia
Chris,Billy Barty,17,3,other,Chris
Chuck,Eric Idle,17,3,other,Chuck
Mitch,Jerry Orbach,17,3,other,Mitch
Rochelle,Jane Pauley,17,3,other,Rochelle
Episode complete credited cast:,Episode complete credited cast:,17,4,NA,Episode
Frasier Crane,Kelsey Grammer,17,4,main,Frasier
Daphne Moon,Jane Leeves,17,4,main,Daphne
Niles Crane,David Hyde Pierce,17,4,main,Niles
Roz Doyle,Peri Gilpin,17,4,main,Roz
Bulldog Briscoe,Dan Butler,17,4,recurring,Bulldog
Martin Crane,John Mahoney,17,4,main,Martin
Bebe Glazer,Harriet Sansom Harris,17,4,recurring,Bebe
Vera,Kathryn Joosten,17,4,other,Vera
Professor Pete,Doug Carfrae,17,4,other,Professor
Episode complete credited cast:,Episode complete credited cast:,17,5,NA,Episode
Frasier Crane,Kelsey Grammer,17,5,main,Frasier
Daphne Moon,Jane Leeves,17,5,main,Daphne
Niles Crane,David Hyde Pierce,17,5,main,Niles
Roz Doyle,Peri Gilpin,17,5,main,Roz
Bulldog Briscoe,Dan Butler,17,5,recurring,Bulldog
Martin Crane,John Mahoney,17,5,main,Martin
Clint Webber,Billy Campbell,17,5,other,Clint
Robert,François Giroday,17,5,other,Robert
Sharon,Lindsay Price,17,5,other,Sharon
Clerk,Doug Budin,17,5,other,Clerk
Marie,Jill Clayburgh,17,5,other,Marie
Gil Chesterton,Edward Hibbert,17,5,recurring,Gil
Episode complete credited cast:,Episode complete credited cast:,17,6,NA,Episode
Frasier Crane,Kelsey Grammer,17,6,main,Frasier
Daphne Moon,Jane Leeves,17,6,main,Daphne
Niles Crane,David Hyde Pierce,17,6,main,Niles
Roz Doyle,Peri Gilpin,17,6,main,Roz
Martin Crane,John Mahoney,17,6,main,Martin
Episode complete credited cast:,Episode complete credited cast:,17,7,NA,Episode
Frasier Crane,Kelsey Grammer,17,7,main,Frasier
Daphne Moon,Jane Leeves,17,7,main,Daphne
Niles Crane,David Hyde Pierce,17,7,main,Niles
Roz Doyle,Peri Gilpin,17,7,main,Roz
Martin Crane,John Mahoney,17,7,main,Martin
Mel Karnofsky,Jane Adams,17,7,recurring,Mel
Mrs. Wojadubakowski,Anita Gillette,17,7,other,Mrs.
Corkmaster,Anthony Heald,17,7,other,Corkmaster
Virgil Hefflewhite,Richard Stretchberry,17,7,other,Virgil
Episode complete credited cast:,Episode complete credited cast:,17,8,NA,Episode
Frasier Crane,Kelsey Grammer,17,8,main,Frasier
Daphne Moon,Jane Leeves,17,8,recurring,Daphne
Niles Crane,David Hyde Pierce,17,8,main,Niles
Roz Doyle,Peri Gilpin,17,8,main,Roz
Martin Crane,John Mahoney,17,8,main,Martin
Penelope Janvier,Barbara Babcock,17,8,other,Penelope
William,John Michael Higgins,17,8,other,William
Reggie,Michael Canavan,17,8,other,Reggie
Estelle,Damara Reilly,17,8,other,Estelle
James the Waiter,James Aaron Oliver,17,8,recurring,James
Spencer,Charles Janasz,17,8,other,Spencer
Monique,Candace Edwards,17,8,other,Monique
Episode complete credited cast:,Episode complete credited cast:,17,9,NA,Episode
Frasier Crane,Kelsey Grammer,17,9,main,Frasier
Daphne Moon,Jane Leeves,17,9,main,Daphne
Niles Crane,David Hyde Pierce,17,9,main,Niles
Roz Doyle,Peri Gilpin,17,9,main,Roz
Martin Crane,John Mahoney,17,9,main,Martin
Susanna,Allison Janney,17,9,other,Susanna
Kris,Bridgette Wilson-Sampras,17,9,other,Kris
Lisa,Bellamy Young,17,9,other,Lisa
Clark,Michael Panes,17,9,other,Clark
Cleaner Guy,Kiran Rao,17,9,other,Cleaner
Jason,Mike Powers,17,9,other,Jason
Graham,Craig Nigh,17,9,other,Graham
Clint,Nick Kiriazis,17,9,other,Clint
Harry,Michael Medico,17,9,other,Harry
Bartender,Matt Huhn,17,9,recurring,Bartender
Episode cast overview:,Episode cast overview:,17,10,NA,Episode
Frasier Crane,Kelsey Grammer,17,10,main,Frasier
Daphne Moon,Jane Leeves,17,10,main,Daphne
Niles Crane,David Hyde Pierce,17,10,main,Niles
Roz Doyle,Peri Gilpin,17,10,main,Roz
Martin Crane,John Mahoney,17,10,main,Martin
Ahmrit,Alan Cumming,17,10,other,Ahmrit
Trudy,Mary K. DeVault,17,10,other,Trudy
Mindy,Laura Linney,17,10,other,Mindy
Kenny Daly,Tom McGowan,17,10,recurring,Kenny
Episode cast overview:,Episode cast overview:,17,11,NA,Episode
Frasier Crane,Kelsey Grammer,17,11,main,Frasier
Daphne Moon,Jane Leeves,17,11,main,Daphne
Niles Crane,David Hyde Pierce,17,11,main,Niles
Roz Doyle,Peri Gilpin,17,11,main,Roz
Martin Crane,John Mahoney,17,11,main,Martin
Ronee Lawrence,Wendie Malick,17,11,recurring,Ronee
Opal,Estelle Parsons,17,11,other,Opal
Willa Haver,Gabrielle Miller,17,11,other,Willa
Roland,Jack Laufer,17,11,other,Roland
Sarah,Linda Gehringer,17,11,other,Sarah
Janelle,Bernadette Birkett,17,11,other,Janelle
Florence,Phyllis Flax,17,11,other,Florence
Babette the Caller,Helen Mirren,17,11,other,Babette
Episode complete credited cast:,Episode complete credited cast:,18,1,NA,Episode
Frasier Crane,Kelsey Grammer,18,1,main,Frasier
Daphne Moon,Jane Leeves,18,1,main,Daphne
Niles Crane,David Hyde Pierce,18,1,main,Niles
Roz Doyle,Peri Gilpin,18,1,main,Roz
Martin Crane,John Mahoney,18,1,main,Martin
Bebe Glazer,Harriet Sansom Harris,18,1,recurring,Bebe
Fletcher Grey,John McMartin,18,1,other,Fletcher
Noel Shempsky,Patrick Kerr,18,1,recurring,Noel
Keith Bishop,Wren T. Brown,18,1,other,Keith
Mrs. Grey,Maxine Elliott Hicks,18,1,other,Mrs.
Tawny Van Deusen,Trish Ramish,18,1,other,Tawny
Bob Peterson,Mark Sawyer,18,1,other,Bob
Committee Member,Aileen Fitzpatrick,18,1,other,Committee
Eddie,Moose,18,1,recurring,Eddie
Episode complete credited cast:,Episode complete credited cast:,18,2,NA,Episode
Frasier Crane,Kelsey Grammer,18,2,main,Frasier
Daphne Moon,Jane Leeves,18,2,main,Daphne
Niles Crane,David Hyde Pierce,18,2,main,Niles
Roz Doyle,Peri Gilpin,18,2,main,Roz
Martin Crane,John Mahoney,18,2,main,Martin
Mr. ke,William Morgan Sheppard,18,2,other,Mr.
Mr. Spencer,Mitchell Edmonds,18,2,other,Mr.
Wentworth,Jim Norton,18,2,other,Wentworth
Sid,Gary Sinise,18,2,other,Sid
Episode complete credited cast:,Episode complete credited cast:,18,3,NA,Episode
Frasier Crane,Kelsey Grammer,18,3,main,Frasier
Daphne Moon,Jane Leeves,18,3,main,Daphne
Niles Crane,David Hyde Pierce,18,3,main,Niles
Roz Doyle,Peri Gilpin,18,3,main,Roz
Martin Crane,John Mahoney,18,3,main,Martin
Waitress,Luck Hari,18,3,recurring,Waitress
Episode complete credited cast:,Episode complete credited cast:,18,4,NA,Episode
Frasier Crane,Kelsey Grammer,18,4,main,Frasier
Daphne Moon,Jane Leeves,18,4,main,Daphne
Niles Crane,David Hyde Pierce,18,4,main,Niles
Roz Doyle,Peri Gilpin,18,4,main,Roz
Bulldog Briscoe,Dan Butler,18,4,recurring,Bulldog
Martin Crane,John Mahoney,18,4,main,Martin
Gil Chesterton,Edward Hibbert,18,4,recurring,Gil
Noel Shempsky,Patrick Kerr,18,4,recurring,Noel
Mel White,Richard Easton,18,4,other,Mel
Maxine,Hope Allen,18,4,other,Maxine
Ian,Jack Betts,18,4,other,Ian
"Episode cast overview, first billed only:","Episode cast overview, first billed only:",18,5,NA,Episode
Frasier Crane,Kelsey Grammer,18,5,main,Frasier
Daphne Moon,Jane Leeves,18,5,main,Daphne
Niles Crane,David Hyde Pierce,18,5,main,Niles
Roz Doyle,Peri Gilpin,18,5,main,Roz
Bulldog Briscoe,Dan Butler,18,5,recurring,Bulldog
Martin Crane,John Mahoney,18,5,main,Martin
Waitress,Robin Mary Florence,18,5,recurring,Waitress
Bernice Brisco,Peggy Miley,18,5,other,Bernice
Father O'Rourke,Thomas J. Reilly,18,5,other,Father
Mrs. McCloud,Peg Stewart,18,5,other,Mrs.
Bulldog's Engineer,Christopher M. Brown,18,5,other,Bulldog's
Coach Nugent,Robert Ruth,18,5,other,Coach
Bulldog's Date,Michelle Crispin,18,5,other,Bulldog's
Joanna,Ashley West Leonard,18,5,other,Joanna
Customer,Jill Matson-Sachoff,18,5,other,Customer
Episode complete credited cast:,Episode complete credited cast:,18,6,NA,Episode
Frasier Crane,Kelsey Grammer,18,6,main,Frasier
Daphne Moon,Jane Leeves,18,6,main,Daphne
Niles Crane,David Hyde Pierce,18,6,main,Niles
Roz Doyle,Peri Gilpin,18,6,main,Roz
Martin Crane,John Mahoney,18,6,main,Martin
Carol Larkin,Rosemary Murphy,18,6,other,Carol
Alfred Larkin,Jack Sydow,18,6,other,Alfred
MacLowery,Randy Doney,18,6,other,MacLowery
Mrs. Latimer,Mimi Hines,18,6,other,Mrs.
Mr. Probst,Bill Morey,18,6,other,Mr.
Miss Finn,Nina Mann,18,6,other,Miss
Mrs. Hawkins,Fiona Hale,18,6,other,Mrs.
